Area_m2,Rooms_noisy,Floor_num_noisy,Parking_num_noisy,Municipality_score,Type_str_Novogradnja,Type_str_Ostalo,Type_str_Stara gradnja,Condition_str_Izvorno stanje,Condition_str_Lux,Condition_str_Ostalo,Condition_str_Renovirano,Condition_str_Za renoviranje,Heating_str_CG,Heating_str_EG,Heating_str_Ostalo,Heating_str_Podno,Heating_str_TA,Heating_str_Toplotne pumpe,Price_per_m2
65.0,2.4735566265438504,1.0396788409906013,0.9819100473243255,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
67.0,2.026461166118716,-0.002603835973712762,0.03289154741506774,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
72.0,2.526705942152179,1.0167557738521027,-0.04629923652845074,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2513.8888888888887
33.0,1.0071549368149517,0.967231987120163,0.009626987848205301,4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2696.969696969697
67.0,1.9180579540108817,-0.030771098119132922,-0.026999116271229695,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
81.0,3.0670604991178476,-0.04591313837335212,-0.03794331142227212,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
58.0,2.964156012994347,0.9668935063072165,-0.042304679837079084,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3086.206896551724
53.0,2.937303702079971,0.9778590339031958,2.019628877587814,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
25.0,0.4081550283109528,0.9677010484276747,-0.01601250362319339,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
53.0,3.018178588637648,0.9588702533757055,2.022476677152876,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
45.25,1.5355128723684566,0.9620635871100601,-0.04346436592010577,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
53.0,1.9033175657855712,0.9960778768032725,0.981529033783061,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
108.0,4.002418611659857,0.9706333718405793,0.0039491292375337245,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
65.0,3.4452991550395877,0.9864269861048075,0.029072316483896354,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3923.076923076923
86.0,4.02903455808189,1.0003417270854857,0.981875250293207,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
127.0,3.9348732858009985,0.019039482862936524,0.012589137643700912,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
220.0,5.038187547620494,0.9539312139841098,2.038597774823619,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
33.0,0.9773470692601075,1.0299410398909044,0.011586318818230454,4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2696.969696969697
